Include;notes_screening1;Notes;Citationkey;Author;Title;Publication Year;method_automated_measurement;method_visualization;method_automated_generation;method_agent;method_AutoQUEST;method_machine_learning;methodology;Usability dimension;Baseline;Sample Size;Notes;XR Technology;Measurement;dimension_general_usability;dimension_generalUX;dimension_presence;dimension_flow;dimension_interactability;dimension_learnability;dimension_emotions;dimension_usability_smells;dimension_stress;dimension_anxiety;dimension_ease_of_use;dimension_attention;dimension_UI;dimension_behaviour;dimension_comfort;dimension_cognitive_load;dimension_engagement;dimension_area_of_interest;dimension_realism;dimension_sentiment;dimension_physiological_arousal;dimension_physical_effort;measurement_none;measurement_heart_rate;measurement_decision_time;measurement_hand_movement;measurement_head_movement;measurement_facial_expression;measurement_scene_capture;measurement_events;measurement_EEG;measurement_EDA;measurement_EMG;measurement_body_temperature;measurement_speech;measurement_walking_speed;measurement_gaze;measurement_pupil;measurement_body_tracking;measurement_movement;measurement_respiration;measurement_pressure_load;control_measurement;control_dimension
include;Usability Evaluation nachlesen;;elorBioLuminImmersiveMixed2022;"Elor, A.; Whittaker, S.; Kurniawan, S.; Michael, S.";BioLumin: An Immersive Mixed Reality Experience for Interactive Microscopic Visualization and Biomedical Research Annotation;2022;x;;;;;;loggin unity, video anlysis;Behavioral Strategies for System Usage, Engagement, Usability;SUS, Presence;19;;AR;controller pose, headset pose, model pose, total eye tracking movement, model control function usages e.g. translation rotation scale, video analysis for poses;x;;;;;;;;;;;;;x;;;x;;;;;;;;;x;x;;;x;;;;;;;x;;;;;;4;3
include;AutoQUEST;Task Trees genereted after VR usage;harmsAutomatedUsabilityEvaluation2019;Harms, Patrick;Automated Usability Evaluation of Virtual Reality Applications;2019;x;;;;x;;recordings of user actions, a subsequent generation of task trees, and the detection of five usability smells with AutoQUEST;5 different Usability Smells;Manual Inspection, Counter Evaluation, Compared 4 Interaction Modes;84;;VR;Events (5 different), Sequences, Iterations;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;1;1
include;physiological factors;EEG, head movement for correlation of viewpoint to EEG;heAmTheaterUsability2018;"He, Linjia; Li, Hongsong; Xue, Tong; Sun, Deyuan; Zhu, Shoulun; Ding, Gangyi";Am I in the theater? usability study of live performance based virtual reality;2018;x;;;;;;EEG;Engagement;TV vs VR;25;;VR;EEG, head movement;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;x;;;;;;;;;;;;2;1
include;physiological factors;EEG;houDevelopingVirtualReality2017;"Hou, Guanhua; Dong, Hua; Yang, Yang";Developing a Virtual Reality Game User Experience Test Method Based on EEG Signals;2017;x;;;;;;EEG in different frequency bands;usability;expert usability judging, high vs low;32;;VR;EEG in different frequency bands;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;1;1
include;head rotation frequency;;hynesQoEEvaluationAugmented2020;"Hynes, E.; Flynn, R.; Lee, B.; Murray, N.";A QoE Evaluation of an Augmented Reality Procedure Assistance Application;2020;x;;;;;;high frequency head rotation;QoE through emotions delight or annoyance;paper based alternative;48;;AR;high frequency head rotation in pitch yaw and roll directions;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;1;1
include;face tracking;micro expressions;hynesEvaluationLowerFacial2020;"Hynes, E.; Flynn, R.; Lee, B.; Murray, N.";An Evaluation of Lower Facial Micro Expressions as an Implicit QoE Metric for an Augmented Reality Procedure Assistance Application;2020;x;;;;;;face tracking;QoE through emotions delight or annoyance;questionnaire, normal facial expression;48;;AR;micro facial expressions;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;1;1
include;Usability Evaluation nachlesen;;jamboVirtualRealitySystem2024;"Jambo, C.H.M.; Werneck, V.M.B.; Moreira da Costa, R.M.E.";Virtual Reality System Controlled by Embedded Artificial Intelligence for Supporting Phobia Treatment;2024;x;;;;;x;fuzzy module: The input variables used in the system are the anxiety reported by the patient and their heart rate measured by a sensor, while the output variable is the calculated anxiety.;anxiety level;;6;;VR;Heart rate;;;;;;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;1;1
include;objective features;Physiological and Movement measures, very good introduction and related work;kaminskaUsabilityTestingVirtual2022;"Kami_ska, D.; Zwoli_ski, G.; Laska-Le_niewicz, A.";Usability Testing of Virtual Reality Applications—The Pilot Study;2022;x;;;;;x;Head and Hand tracking, EEG, Speech signal analysis classification with ML models;subjective usability;Observation, Interview and questionnaire;14;117;VR;Head Movement, Hand movement, EEG, Speech Signals;x;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;x;;;;x;;;;;;;;4;1
include;AutoQUEST;;karakayaAutomatedUXEvaluation2022;"Karakaya, Kadiray; Yigitbas, Enes; Engels, Gregor";Automated UX Evaluation for User-Centered Design of VR Interfaces;2022;x;;;;x;;VR events: pointer click, object grab and ungrab, head movement, and rotation.;4 different Usability Smells: Important tasks, Required Inefficient actions, High interaction distance, Task retried;keine, es wurde 2 VR App Interationen mit Autoquest verglichen;14;;VR;Events;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;1;1
include;physiological factors;MR Driving simulator;kimWhatWhenExplain2023;"Kim, Gwangbin; Yeo, Dohyeon; Jo, Taewoo; Rus, Daniela; Kim, SeungJun";What and When to Explain? On-road Evaluation of Explanations in Highly Automated Vehicles;2023;x;;;;;;Physiological Responses measurements with sensors for HR and EDA;arousal / stress;Questionnaires;23;;MR;heart rate, electrodermal activity, body temperature;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;x;;x;;;;;;;;;3;1
include;physiological factors;EEG und GSR für UX factors;kujurNeurophysiologicalUXEvaluation2023;"Kujur, Abhijeet; Khan, Sadaf H.; Kumar, Jyoti";Neurophysiological UX Evaluation of Industry 4.0 Technologies: E-commerce, e-learning Websites, and VR Simulation;2023;x;;;;;;EEG activity compared to navigational problems and GSR compared to presence, workload and flow and interpreted emotions from data;navigational problems, presence, workload and flow, Emotions;e-commerce and e-learning websites ;11;;VR;EEG, GSR;;;x;x;;;x;;;;;;;;;x;;;;;;;;;;;;;;;x;x;;;;;;;;;;;2;4
include;eye tracking;;kutsDigitalTwinIndustrial2022;"Kuts, V.; Marvel, J.A.; Aksu, M.; Pizzagalli, S.L.; Sarkans, M.; Bondarenko, Y.; Otto, T.";Digital Twin as Industrial Robots Manipulation Validation Tool;2022;x;;;;;;Eye tracking through raycast from face, heart rate + correlation with NASA-TLX;Eye tracking is used as a measurable proxy of operator attention within the virtual environment, and objective measure for ease-of-use, heart rate for stress level;NASA-TLX;40;;VR;Eye tracking, heart rate;;;;;;;;;x;;x;x;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;2;3
include;physiological factors;experimentalle Classification von Attention als Usability factor;longMultimodalDetectionExternal2024;"Long, Xingyu; Mayer, Sven; Chiossi, Francesco";Multimodal Detection of External and Internal Attention in Virtual Reality using EEG and Eye Tracking Features;2024;x;;;;;x;EEG, Eye Tracking  to compare Visual Complexity levels (No, Low, High) with classification algorithms;classification of attention levels through Visual Complexity levels (No, Low, High);;24;;VR;EEG alpha and theta band, Eye Tracking Pupil Diameter;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;;x;;;;;2;1
include;Usability Evaluation nachlesen;time tracking durch steps;nakamura3PIExperimentImmersion2010;"Nakamura, Ricardo; Lago, Lucas L. M.; Carneiro, Alexandre B.; Cunha, Anderson J. C.; Ortega, Fábio J. M.; Bernardes, João L.; Tori, Romero";3PI experiment: immersion in third-person view;2010;x;;;;;;time between decisions (steps) in the game;not mentioned, guessed effectiveness/efficiency;;8;8 out of 47;AR;time;;x;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;1;2
